nthreads,N,load_ms,build_ms,write_ms,total_ms
1,1000,0.884766,40.476721,0.0,41.361487000000004
2,2000,1.006203,45.835054,0.0,46.841257
4,4000,2.006871,70.499268,0.0,72.50613899999999
8,8000,3.941734,122.698205,0.0,126.63993900000001
16,16000,7.052604,218.29510499999998,0.0,225.34770899999998
