nthreads,N,load_ms,build_ms,write_ms,total_ms
1,100000,141.66363,48949.653013999996,0.0,49091.316644
2,100000,104.233636,41153.278299,0.0,41257.511934999995
4,100000,83.900509,28331.265649999998,0.0,28415.166158999997
8,100000,82.300177,19745.873503,0.0,19828.17368
16,100000,82.463904,12285.081425999999,0.0,12367.54533
