nthreads,N,load_ms,build_ms,write_ms,total_ms
1,1000,0.46319,5.8907,0,6.35389
2,2000,1.3702,10.7928,0,12.163
4,4000,1.89943,24.2101,0,26.1095
8,8000,3.37182,77.799,0,81.1708
16,16000,7.73493,209.683,0,217.418
