nthreads,N,load_ms,build_ms,write_ms,total_ms
1,1000,3.08977,6.94272,0,10.0325
2,2000,4.51711,13.8478,0,18.3649
4,4000,6.55751,27.4768,0,34.0343
8,8000,10.2048,54.9099,0,65.1147
16,16000,18.0332,155.606,0,173.639
