N,load_ms,pack_ms,upload_ms,build_ms,write_ms,total_ms
100,269.783,0.001329,269.783,45.4056,0,319.066
1000,201.191,0.02442,201.191,39.9698,0,249.448
10000,189.1,0.246206,189.1,54.8012,0,261.936
100000,187.572,1.14917,187.572,967.887,0,1244.1
1000000,215.692,11.071,215.692,67496.2,0,68504.9
