nranks,N,load_ms,build_ms,write_ms,total_ms
1,100000,110.956,88862.1,0,89059.4
2,100000,199.251,20674.7,0,20977.1
4,100000,194.485,4846.43,0,5160.74
8,100000,201.11,1044.88,0,1381.22
16,100000,199.44,265.926,0,620.494
