nthreads,N,load_ms,build_ms,write_ms,total_ms
1,100000,101.936,66362.8,0,66464.8
2,100000,109.784,33190,0,33299.7
4,100000,101.78,16597.9,0,16699.7
8,100000,102.029,8337.76,0,8439.79
16,100000,101.384,5524.4,0,5625.78
